,A,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
29,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
30,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
31,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
32,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
33,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
34,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
35,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
36,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
37,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
38,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
39,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
