,B,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
17,hsa.miR.29b.3p,0.695652,0.454545,0.043478,0.26087,0.478261,0.826087,1.0,0.318182,0.227273,695.652161,434.782623,217.391312,217.391312,173.91304,86.95652,130.434784,130.434784,217.391312,173.91304,173.91304,43.47826,217.391312,0.0,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,0.0,130.434784,0.0,0.0,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,0.0
18,hsa.miR.26b.5p,0.666667,0.5,0.047619,0.285714,0.52381,0.714286,1.0,0.3,0.1,666.666687,380.952393,238.095245,238.095245,190.476196,0.0,95.238098,95.238098,142.857147,190.476196,142.857147,95.238098,190.476196,47.619049,95.238098,95.238098,0.0,0.0,95.238098,95.238098,0.0,0.0,0.0,47.619049,47.619049,0.0,47.619049,47.619049,0.0,47.619049,0.0,47.619049,47.619049
19,hsa.miR.544a,0.772727,0.333333,0.090909,0.227273,0.454545,0.727273,1.0,0.238095,0.190476,772.727295,590.909119,136.363632,181.818176,136.363632,45.454544,90.909088,136.363632,409.090912,136.363632,90.909088,45.454544,181.818176,0.0,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,45.454544,90.909088,0.0,0.0,0.0
20,hsa.miR.450a.5p,0.818182,0.285714,0.045455,0.181818,0.454545,0.681818,1.0,0.238095,0.333333,818.181824,636.363647,136.363632,136.363632,90.909088,181.818176,136.363632,136.363632,545.454529,90.909088,90.909088,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,136.363632,45.454544,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,0.0,90.909088,45.454544,0.0
21,hsa.miR.429,0.681818,0.285714,0.045455,0.318182,0.5,0.636364,1.0,0.285714,0.285714,681.818176,500.0,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,409.090912,45.454544,45.454544,90.909088,90.909088,45.454544,90.909088,0.0,136.363632,45.454544,90.909088,0.0,90.909088,0.0,45.454544,90.909088,45.454544,0.0,90.909088,0.0,45.454544,45.454544,0.0,0.0,45.454544
22,hsa.miR.122.5p,0.818182,0.285714,0.045455,0.227273,0.5,0.818182,1.0,0.142857,0.47619,818.181824,636.363647,136.363632,136.363632,45.454544,272.727264,90.909088,181.818176,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,0.0,90.909088,45.454544,90.909088,0.0,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,136.363632,45.454544,45.454544
23,hsa.miR.302a.3p,0.826087,0.227273,0.043478,0.304348,0.565217,0.73913,0.956522,0.136364,0.363636,826.086975,695.652161,130.434784,86.95652,86.95652,173.91304,43.47826,173.91304,608.695679,86.95652,43.47826,43.47826,86.95652,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
24,hsa.miR.448,0.772727,0.47619,0.045455,0.181818,0.454545,0.772727,1.0,0.380952,0.285714,772.727295,500.0,227.27272,227.27272,181.818176,136.363632,181.818176,136.363632,318.181824,181.818176,227.27272,0.0,136.363632,45.454544,0.0,45.454544,45.454544,136.363632,0.0,45.454544,136.363632,0.0,0.0,0.0,45.454544,90.909088,0.0,0.0,45.454544,90.909088,0.0,45.454544,0.0
25,hsa.miR.490.3p,0.772727,0.380952,0.045455,0.272727,0.5,0.818182,1.0,0.238095,0.190476,772.727295,545.454529,181.818176,181.818176,90.909088,136.363632,136.363632,45.454544,363.636353,136.363632,136.363632,45.454544,181.818176,0.0,45.454544,45.454544,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,90.909088,0.0,45.454544,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0
26,hsa.miR.302d.3p,0.826087,0.272727,0.043478,0.304348,0.565217,0.73913,1.0,0.136364,0.409091,826.086975,652.173889,130.434784,130.434784,86.95652,173.91304,43.47826,217.391312,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,130.434784,43.47826,0.0,0.0,0.0,43.47826,0.0,86.95652,86.95652,0.0,86.95652,0.0,0.0
27,hsa.miR.149.5p,0.956522,0.090909,0.043478,0.26087,0.478261,0.695652,1.0,0.090909,0.272727,956.521729,869.565247,43.47826,43.47826,43.47826,130.434784,43.47826,130.434784,782.608704,43.47826,43.47826,0.0,43.47826,0.0,0.0,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,43.47826,43.47826,0.0,0.0,0.0,0.0,86.95652,0.0,43.47826,0.0,43.47826
28,hsa.miR.491.5p,0.772727,0.333333,0.090909,0.227273,0.5,0.727273,1.0,0.142857,0.142857,772.727295,590.909119,136.363632,181.818176,45.454544,90.909088,90.909088,45.454544,409.090912,136.363632,90.909088,45.454544,181.818176,0.0,45.454544,45.454544,0.0,45.454544,0.0,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,45.454544,0.0,0.0,45.454544,0.0,0.0
29,hsa.miR.155.5p,0.75,0.347826,0.041667,0.25,0.541667,0.833333,1.0,0.26087,0.26087,750.0,541.666687,166.666672,166.666672,125.0,125.0,125.0,125.0,375.0,125.0,83.333336,83.333336,125.0,41.666668,83.333336,83.333336,41.666668,0.0,83.333336,41.666668,83.333336,41.666668,0.0,41.666668,41.666668,41.666668,83.333336,0.0,83.333336,0.0,41.666668,41.666668,41.666668
30,hsa.miR.122.5p,0.818182,0.285714,0.045455,0.227273,0.5,0.818182,1.0,0.142857,0.47619,818.181824,636.363647,136.363632,136.363632,45.454544,272.727264,90.909088,181.818176,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,0.0,90.909088,45.454544,90.909088,0.0,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,136.363632,45.454544,45.454544
31,hsa.miR.302a.3p,0.826087,0.227273,0.043478,0.304348,0.565217,0.73913,0.956522,0.136364,0.363636,826.086975,695.652161,130.434784,86.95652,86.95652,173.91304,43.47826,173.91304,608.695679,86.95652,43.47826,43.47826,86.95652,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
32,hsa.miR.302a.3p,0.826087,0.227273,0.043478,0.304348,0.565217,0.73913,0.956522,0.136364,0.363636,826.086975,695.652161,130.434784,86.95652,86.95652,173.91304,43.47826,173.91304,608.695679,86.95652,43.47826,43.47826,86.95652,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,0.0,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
33,hsa.miR.302d.3p,0.826087,0.272727,0.043478,0.304348,0.565217,0.73913,1.0,0.136364,0.409091,826.086975,652.173889,130.434784,130.434784,86.95652,173.91304,43.47826,217.391312,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,130.434784,43.47826,0.0,0.0,0.0,43.47826,0.0,86.95652,86.95652,0.0,86.95652,0.0,0.0
34,hsa.miR.505.3p,0.863636,0.190476,0.045455,0.318182,0.590909,0.772727,1.0,0.190476,0.285714,863.636353,727.272705,90.909088,90.909088,90.909088,136.363632,90.909088,136.363632,636.363647,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,90.909088,45.454544,45.454544,0.0,90.909088,0.0,45.454544,45.454544,45.454544,0.0,45.454544,0.0,136.363632,0.0,0.0,0.0,45.454544
35,hsa.miR.302d.3p,0.826087,0.272727,0.043478,0.304348,0.565217,0.73913,1.0,0.136364,0.409091,826.086975,652.173889,130.434784,130.434784,86.95652,173.91304,43.47826,217.391312,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,0.0,130.434784,43.47826,0.0,0.0,0.0,43.47826,0.0,86.95652,86.95652,0.0,86.95652,0.0,0.0
36,hsa.miR.149.5p,0.956522,0.090909,0.043478,0.26087,0.478261,0.695652,1.0,0.090909,0.272727,956.521729,869.565247,43.47826,43.47826,43.47826,130.434784,43.47826,130.434784,782.608704,43.47826,43.47826,0.0,43.47826,0.0,0.0,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,43.47826,43.47826,0.0,0.0,0.0,0.0,86.95652,0.0,43.47826,0.0,43.47826
37,hsa.miR.496,0.727273,0.47619,0.045455,0.227273,0.545455,0.727273,1.0,0.380952,0.190476,727.272705,454.545441,227.27272,227.27272,181.818176,90.909088,181.818176,90.909088,227.27272,181.818176,181.818176,45.454544,181.818176,45.454544,45.454544,90.909088,0.0,136.363632,45.454544,0.0,0.0,45.454544,45.454544,90.909088,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544
38,hsa.miR.192.5p,0.714286,0.5,0.047619,0.238095,0.47619,0.714286,1.0,0.3,0.2,714.285706,428.571442,238.095245,238.095245,95.238098,142.857147,190.476196,47.619049,190.476196,190.476196,190.476196,47.619049,190.476196,47.619049,47.619049,47.619049,95.238098,47.619049,0.0,47.619049,0.0,142.857147,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,47.619049,0.0,0.0,95.238098,0.0
39,hsa.miR.491.5p,0.772727,0.333333,0.090909,0.227273,0.5,0.727273,1.0,0.142857,0.142857,772.727295,590.909119,136.363632,181.818176,45.454544,90.909088,90.909088,45.454544,409.090912,136.363632,90.909088,45.454544,181.818176,0.0,45.454544,45.454544,0.0,45.454544,0.0,0.0,0.0,45.454544,45.454544,45.454544,0.0,45.454544,45.454544,45.454544,0.0,0.0,45.454544,0.0,0.0
