,A,LORFL: Longest ORF length,ORFCo: ORF coverage,ORFIn: ORF integrity,ORFFS: ORF frame score,ORFEA: Entropy density A on ORF,ORFEC: Entropy density C on ORF,ORFED: Entropy density D on ORF,ORFEE: Entropy density E on ORF,ORFEF: Entropy density F on ORF,ORFEG: Entropy density G on ORF,ORFEH: Entropy density H on ORF,ORFEI: Entropy density I on ORF,ORFEK: Entropy density K on ORF,ORFEL: Entropy density L on ORF,ORFEM: Entropy density M on ORF,ORFEN: Entropy density N on ORF,ORFEP: Entropy density P on ORF,ORFEQ: Entropy density Q on ORF,ORFER: Entropy density R on ORF,ORFES: Entropy density S on ORF,ORFET: Entropy density T on ORF,ORFEV: Entropy density V on ORF,ORFEW: Entropy density W on ORF,ORFEY: Entropy density Y on ORF,EucDist.LNC_orf,EucDist.PCT_orf,EucDist.Ratio_orf,LogDist.LNC_orf,LogDist.PCT_orf,LogDist.Ratio_orf,Hexamer.Score_orf
26,ENST00000501008.2,261.0,0.137513,1.0,0.0,0.086369,0.055788,0.0,0.034196,0.020249,0.097817,0.0,0.034196,0.020249,0.072623,0.034196,0.020249,0.086369,0.055788,0.107435,0.107435,0.034196,0.092346,0.020249,0.020249,0.064313,0.063054,1.019973,-12.159333,-12.563695,0.967815,0.0
27,ENST00000438608.5,246.0,0.468571,1.0,0.0,0.102957,0.0,0.062566,0.044425,0.044425,0.054064,0.044425,0.019745,0.033261,0.070165,0.054064,0.033261,0.062566,0.07701,0.054064,0.070165,0.07701,0.033261,0.062566,0.0,0.066906,0.06623,1.010213,-13.586171,-13.671953,0.993726,0.0
28,ENST00000398461.5,447.0,0.12949,1.0,0.0,0.06356,0.042724,0.0295,0.053873,0.042724,0.076039,0.048509,0.048509,0.042724,0.098374,0.021712,0.021712,0.100964,0.0295,0.03643,0.11012,0.042724,0.053873,0.03643,0.0,0.049626,0.049938,0.993753,-6.535287,-6.436709,1.015315,0.0
29,ENST00000590274.1,204.0,0.334975,-1.0,0.0,0.040078,0.040078,0.0,0.07416,0.118284,0.0644,0.040078,0.040078,0.082775,0.07416,0.053204,0.023978,0.053204,0.023978,0.0,0.113866,0.040078,0.0644,0.0,0.053204,0.093681,0.096665,0.969123,-17.402837,-16.873034,1.031399,0.0
30,ENST00000413421.5,183.0,0.22155,1.0,0.0,0.042354,0.042354,0.0,0.055957,0.025493,0.025493,0.055957,0.077359,0.067444,0.077359,0.055957,0.067444,0.042354,0.042354,0.11156,0.100363,0.0,0.042354,0.042354,0.025493,0.074964,0.076402,0.981179,-19.221719,-18.777476,1.023658,0.0
31,ENST00000517675.1,285.0,0.085483,1.0,0.0,0.030089,0.077021,0.030089,0.040381,0.049345,0.077021,0.030089,0.030089,0.071046,0.077021,0.049345,0.064511,0.071046,0.030089,0.10757,0.077021,0.040381,0.030089,0.0,0.017753,0.059354,0.060458,0.981738,-11.489695,-11.260676,1.020338,0.0
32,ENST00000602618.1,48.0,0.102345,1.0,0.0,0.0,0.0,0.114889,0.0,0.077206,0.0,0.077206,0.0,0.114889,0.077206,0.114889,0.114889,0.077206,0.077206,0.077206,0.0,0.0,0.077206,0.0,0.0,0.151356,0.152303,0.993781,-89.896311,-89.560662,1.003748,0.0
33,ENST00000577163.1,195.0,0.336207,-1.0,0.0,0.083572,0.053942,0.040702,0.065196,0.097975,0.040702,0.024403,0.0,0.0,0.097975,0.053942,0.024403,0.074973,0.065196,0.053942,0.104025,0.0,0.053942,0.040702,0.024403,0.105888,0.10725,0.987305,-18.405812,-18.34206,1.003476,0.0
34,ENST00000487102.5,171.0,0.224704,1.0,0.0,0.042913,0.067972,0.02592,0.042913,0.042913,0.02592,0.086294,0.056536,0.056536,0.067972,0.02592,0.042913,0.056536,0.02592,0.056536,0.086294,0.077781,0.086294,0.0,0.02592,0.084577,0.085548,0.988648,-21.00122,-20.788427,1.010236,0.0
35,ENST00000541775.5,423.0,0.080235,1.0,0.0,0.079894,0.043082,0.021972,0.04887,0.036774,0.086635,0.043082,0.036774,0.029812,0.063869,0.021972,0.012778,0.079894,0.029812,0.079894,0.098124,0.04887,0.059209,0.04887,0.029812,0.057084,0.055543,1.027745,-6.94304,-7.05882,0.983598,0.0
36,ENST00000409898.2,150.0,0.267857,1.0,0.0,0.051139,0.031111,0.0,0.0,0.051139,0.091225,0.0,0.031111,0.0,0.108887,0.051139,0.051139,0.066985,0.100725,0.091225,0.100725,0.080115,0.031111,0.031111,0.031111,0.082601,0.082828,0.997263,-24.210802,-24.138955,1.002976,0.0
37,ENST00000577661.1,123.0,0.194006,1.0,0.0,0.0,0.061364,0.0,0.037781,0.0,0.12496,0.037781,0.037781,0.0,0.094332,0.061364,0.037781,0.094332,0.106488,0.094332,0.079588,0.037781,0.094332,0.0,0.0,0.092118,0.092099,1.00021,-30.31164,-30.431384,0.996065,0.0
38,ENST00000547799.5,312.0,0.094574,1.0,0.0,0.065589,0.052712,0.036968,0.052712,0.027471,0.106724,0.04528,0.04528,0.052712,0.076447,0.036968,0.027471,0.036968,0.052712,0.08127,0.059443,0.04528,0.052712,0.04528,0.0,0.05841,0.057708,1.012173,-10.236923,-10.340624,0.989972,0.0
39,ENST00000458228.5,237.0,0.072389,1.0,0.0,0.077671,0.04933,0.069326,0.03698,0.04933,0.0,0.021988,0.059966,0.0,0.12481,0.03698,0.069326,0.091946,0.021988,0.0,0.108746,0.059966,0.077671,0.021988,0.021988,0.071853,0.073498,0.977614,-14.311381,-13.887785,1.030501,0.0
