,B,MReCA: Molar refractivity composition of A,MReCB: Molar refractivity composition of B,MReAB: Molar refractivity transition between A and B,MReA0: Molar refractivity distribution of 0.00A,MReA1: Molar refractivity distribution of 0.25A,MReA2: Molar refractivity distribution of 0.50A,MReA3: Molar refractivity distribution of 0.75A,MReA4: Molar refractivity distribution of 1.00A,MReB0: Molar refractivity distribution of 0.00B,MReB1: Molar refractivity distribution of 0.25B,MReB2: Molar refractivity distribution of 0.50B,MReB3: Molar refractivity distribution of 0.75B,MReB4: Molar refractivity distribution of 1.00B,MRe: Molar refractivity0,MRe: Molar refractivity1,MRe: Molar refractivity00,MRe: Molar refractivity01,MRe: Molar refractivity10,MRe: Molar refractivity11,MRe: Molar refractivity000,MRe: Molar refractivity001,MRe: Molar refractivity010,MRe: Molar refractivity011,MRe: Molar refractivity100,MRe: Molar refractivity101,MRe: Molar refractivity110,MRe: Molar refractivity111
10,hsa.miR.20b.5p,0.608696,0.391304,0.590909,0.086957,0.217391,0.565217,0.782609,1.0,0.043478,0.26087,0.391304,0.652174,0.913043,608.695679,391.304352,304.347839,260.869568,304.347839,86.95652,130.434784,130.434784,217.391312,43.47826,173.91304,130.434784,43.47826,43.47826
11,hsa.miR.876.5p,0.409091,0.590909,0.428571,0.090909,0.136364,0.545455,0.727273,1.0,0.045455,0.272727,0.409091,0.772727,0.954545,409.090912,590.909119,181.818176,181.818176,227.27272,363.636353,90.909088,90.909088,45.454544,136.363632,90.909088,90.909088,136.363632,227.27272
12,hsa.miR.544a,0.363636,0.636364,0.428571,0.045455,0.272727,0.636364,0.772727,0.863636,0.090909,0.227273,0.454545,0.590909,1.0,363.636353,636.363647,136.363632,227.27272,181.818176,409.090912,45.454544,90.909088,90.909088,136.363632,90.909088,90.909088,90.909088,272.727264
13,hsa.miR.24.3p,0.590909,0.409091,0.428571,0.090909,0.318182,0.590909,0.818182,1.0,0.045455,0.181818,0.272727,0.5,0.909091,590.909119,409.090912,363.636353,181.818176,227.27272,181.818176,136.363632,181.818176,90.909088,90.909088,227.27272,0.0,90.909088,90.909088
14,hsa.miR.3619.5p,0.590909,0.409091,0.571429,0.136364,0.272727,0.454545,0.727273,0.954545,0.045455,0.090909,0.409091,0.772727,1.0,590.909119,409.090912,318.181824,272.727264,272.727264,90.909088,90.909088,227.27272,181.818176,45.454544,227.27272,45.454544,90.909088,0.0
15,hsa.miR.148b.3p,0.454545,0.545455,0.571429,0.136364,0.181818,0.5,0.681818,0.954545,0.045455,0.227273,0.454545,0.818182,1.0,454.545441,545.454529,181.818176,272.727264,272.727264,227.27272,90.909088,90.909088,136.363632,90.909088,90.909088,181.818176,136.363632,90.909088
16,hsa.miR.199b.5p,0.347826,0.652174,0.454545,0.173913,0.217391,0.478261,0.565217,0.869565,0.043478,0.26087,0.608696,0.782609,1.0,347.82608,652.173889,130.434784,217.391312,217.391312,391.304352,43.47826,86.95652,43.47826,173.91304,86.95652,130.434784,173.91304,173.91304
17,hsa.miR.29b.3p,0.478261,0.521739,0.545455,0.086957,0.217391,0.565217,0.652174,0.913043,0.043478,0.26087,0.434783,0.73913,1.0,478.260864,521.739136,217.391312,260.869568,260.869568,217.391312,86.95652,130.434784,86.95652,173.91304,130.434784,130.434784,130.434784,43.47826
18,hsa.miR.26b.5p,0.571429,0.428571,0.4,0.190476,0.285714,0.619048,0.761905,0.952381,0.047619,0.095238,0.333333,0.571429,1.0,571.428589,428.571442,380.952393,190.476196,190.476196,190.476196,190.476196,190.476196,95.238098,47.619049,190.476196,0.0,95.238098,95.238098
19,hsa.miR.544a,0.363636,0.636364,0.428571,0.045455,0.272727,0.636364,0.772727,0.863636,0.090909,0.227273,0.454545,0.590909,1.0,363.636353,636.363647,136.363632,227.27272,181.818176,409.090912,45.454544,90.909088,90.909088,136.363632,90.909088,90.909088,90.909088,272.727264
20,hsa.miR.450a.5p,0.363636,0.636364,0.571429,0.227273,0.318182,0.454545,0.818182,0.954545,0.045455,0.181818,0.5,0.681818,1.0,363.636353,636.363647,90.909088,272.727264,272.727264,318.181824,0.0,90.909088,181.818176,45.454544,90.909088,181.818176,90.909088,227.27272
21,hsa.miR.429,0.5,0.5,0.571429,0.090909,0.227273,0.590909,0.727273,0.954545,0.045455,0.272727,0.454545,0.636364,1.0,500.0,500.0,227.27272,272.727264,272.727264,181.818176,90.909088,136.363632,90.909088,136.363632,136.363632,136.363632,136.363632,45.454544
22,hsa.miR.122.5p,0.590909,0.409091,0.619048,0.090909,0.181818,0.409091,0.681818,1.0,0.045455,0.272727,0.5,0.863636,0.954545,590.909119,409.090912,272.727264,272.727264,318.181824,90.909088,90.909088,181.818176,227.27272,45.454544,181.818176,90.909088,45.454544,45.454544
23,hsa.miR.302a.3p,0.434783,0.565217,0.5,0.086957,0.130435,0.521739,0.869565,1.0,0.043478,0.304348,0.434783,0.695652,0.913043,434.782623,565.217407,173.91304,217.391312,260.869568,304.347839,43.47826,86.95652,130.434784,86.95652,130.434784,130.434784,86.95652,217.391312
24,hsa.miR.448,0.454545,0.545455,0.666667,0.136364,0.227273,0.5,0.636364,0.954545,0.045455,0.181818,0.454545,0.818182,1.0,454.545441,545.454529,136.363632,318.181824,318.181824,181.818176,90.909088,45.454544,227.27272,45.454544,45.454544,272.727264,90.909088,90.909088
25,hsa.miR.490.3p,0.5,0.5,0.428571,0.090909,0.318182,0.454545,0.545455,1.0,0.045455,0.227273,0.636364,0.727273,0.954545,500.0,500.0,272.727264,181.818176,227.27272,272.727264,181.818176,90.909088,45.454544,136.363632,90.909088,90.909088,136.363632,136.363632
26,hsa.miR.302d.3p,0.434783,0.565217,0.545455,0.086957,0.130435,0.521739,0.826087,0.956522,0.043478,0.304348,0.434783,0.695652,1.0,434.782623,565.217407,173.91304,260.869568,260.869568,260.869568,86.95652,86.95652,130.434784,86.95652,86.95652,173.91304,86.95652,173.91304
27,hsa.miR.149.5p,0.217391,0.782609,0.363636,0.173913,0.173913,0.217391,0.521739,0.782609,0.043478,0.26087,0.565217,0.826087,1.0,217.391312,782.608704,43.47826,173.91304,173.91304,565.217407,0.0,43.47826,43.47826,130.434784,43.47826,130.434784,130.434784,391.304352
28,hsa.miR.491.5p,0.590909,0.409091,0.285714,0.045455,0.181818,0.318182,0.863636,1.0,0.136364,0.454545,0.545455,0.681818,0.818182,590.909119,409.090912,409.090912,136.363632,136.363632,272.727264,272.727264,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,227.27272
29,hsa.miR.155.5p,0.541667,0.458333,0.521739,0.125,0.25,0.541667,0.791667,0.916667,0.041667,0.208333,0.458333,0.583333,1.0,541.666687,458.333344,291.666656,250.0,250.0,166.666672,125.0,166.666672,125.0,125.0,166.666672,83.333336,125.0,0.0
30,hsa.miR.122.5p,0.590909,0.409091,0.619048,0.090909,0.181818,0.409091,0.681818,1.0,0.045455,0.272727,0.5,0.863636,0.954545,590.909119,409.090912,272.727264,272.727264,318.181824,90.909088,90.909088,181.818176,227.27272,45.454544,181.818176,90.909088,45.454544,45.454544
31,hsa.miR.302a.3p,0.434783,0.565217,0.5,0.086957,0.130435,0.521739,0.869565,1.0,0.043478,0.304348,0.434783,0.695652,0.913043,434.782623,565.217407,173.91304,217.391312,260.869568,304.347839,43.47826,86.95652,130.434784,86.95652,130.434784,130.434784,86.95652,217.391312
32,hsa.miR.302a.3p,0.434783,0.565217,0.5,0.086957,0.130435,0.521739,0.869565,1.0,0.043478,0.304348,0.434783,0.695652,0.913043,434.782623,565.217407,173.91304,217.391312,260.869568,304.347839,43.47826,86.95652,130.434784,86.95652,130.434784,130.434784,86.95652,217.391312
33,hsa.miR.302d.3p,0.434783,0.565217,0.545455,0.086957,0.130435,0.521739,0.826087,0.956522,0.043478,0.304348,0.434783,0.695652,1.0,434.782623,565.217407,173.91304,260.869568,260.869568,260.869568,86.95652,86.95652,130.434784,86.95652,86.95652,173.91304,86.95652,173.91304
34,hsa.miR.505.3p,0.318182,0.681818,0.47619,0.090909,0.227273,0.363636,0.545455,0.727273,0.045455,0.318182,0.590909,0.818182,1.0,318.181824,681.818176,90.909088,227.27272,227.27272,409.090912,0.0,90.909088,45.454544,181.818176,90.909088,136.363632,136.363632,227.27272
35,hsa.miR.302d.3p,0.434783,0.565217,0.545455,0.086957,0.130435,0.521739,0.826087,0.956522,0.043478,0.304348,0.434783,0.695652,1.0,434.782623,565.217407,173.91304,260.869568,260.869568,260.869568,86.95652,86.95652,130.434784,86.95652,86.95652,173.91304,86.95652,173.91304
36,hsa.miR.149.5p,0.217391,0.782609,0.363636,0.173913,0.173913,0.217391,0.521739,0.782609,0.043478,0.26087,0.565217,0.826087,1.0,217.391312,782.608704,43.47826,173.91304,173.91304,565.217407,0.0,43.47826,43.47826,130.434784,43.47826,130.434784,130.434784,391.304352
37,hsa.miR.496,0.454545,0.545455,0.571429,0.090909,0.136364,0.409091,0.636364,0.818182,0.045455,0.318182,0.545455,0.863636,1.0,454.545441,545.454529,181.818176,272.727264,272.727264,227.27272,45.454544,136.363632,136.363632,136.363632,136.363632,136.363632,90.909088,90.909088
38,hsa.miR.192.5p,0.47619,0.52381,0.5,0.142857,0.190476,0.52381,0.761905,0.904762,0.047619,0.238095,0.428571,0.666667,1.0,476.190491,523.809509,238.095245,238.095245,238.095245,238.095245,47.619049,190.476196,95.238098,142.857147,190.476196,47.619049,142.857147,47.619049
39,hsa.miR.491.5p,0.590909,0.409091,0.285714,0.045455,0.181818,0.318182,0.863636,1.0,0.136364,0.454545,0.545455,0.681818,0.818182,590.909119,409.090912,409.090912,136.363632,136.363632,272.727264,272.727264,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,227.27272
